Timestamp,Date,Open,High,Low,Close,spyNOPE_All,spyNOPE_Bus
2020-03-25 09:31:00,3/25/2020,244.88,245.56,242.53,242.75,-0.004637096,-0.01472494
2020-03-25 09:32:00,3/25/2020,242.7873,245,242.63,243.45,0.008938435,0.02254697
2020-03-25 09:33:00,3/25/2020,243.45,245,243.39,244.38,0.020052607,0.043500633
2020-03-25 09:34:00,3/25/2020,244.37,246.1199,244.17,245.92,0.063803632,0.122020206
2020-03-25 09:35:00,3/25/2020,245.93,246.7,245.52,246.65,0.076781502,0.138217362
2020-03-25 09:36:00,3/25/2020,246.65,247.49,244.6014,247.16,0.073002109,0.120999909
2020-03-25 09:37:00,3/25/2020,247.16,248.32,246.92,248.29,0.09205713,0.144163559
2020-03-25 09:38:00,3/25/2020,248.29,248.47,247.58,248.13,0.091071303,0.133682564
2020-03-25 09:39:00,3/25/2020,248.13,248.65,247.72,248.65,0.101362108,0.14418309
2020-03-25 09:40:00,3/25/2020,248.64,249.225,243.9021,249.15,0.108827347,0.148504814
2020-03-25 09:41:00,3/25/2020,249.16,249.19,243.9021,249.06,0.095878344,0.123579345
2020-03-25 09:42:00,3/25/2020,249.06,249.1,243.9021,248.34,0.074702368,0.092889878
2020-03-25 09:43:00,3/25/2020,248.34,248.67,243.9021,248.5,0.076657402,0.093975818
2020-03-25 09:44:00,3/25/2020,248.5025,248.53,243.9021,247.94,0.058107538,0.070338316
2020-03-25 09:45:00,3/25/2020,247.939,248.07,243.9021,247.79,0.049483695,0.059249218
2020-03-25 09:46:00,3/25/2020,247.8,248.1403,243.9021,247.04,0.029624738,0.035202335
2020-03-25 09:47:00,3/25/2020,247.03,247.52,243.9021,246.4,0.008959548,0.010548264
2020-03-25 09:48:00,3/25/2020,246.4,246.71,243.9021,246.35,0.007572869,0.008867976
2020-03-25 09:49:00,3/25/2020,246.35,246.825,246.31,246.35,0.005845342,0.006826332
2020-03-25 09:50:00,3/25/2020,246.33,246.9545,246.11,246.23,0.001716247,0.001997908
2020-03-25 09:51:00,3/25/2020,246.22,246.71,243.9021,246.4,0.007064411,0.008197876
2020-03-25 09:52:00,3/25/2020,246.37,246.38,245.27,245.48,-0.009629527,-0.011137285
2020-03-25 09:53:00,3/25/2020,245.46,245.57,243.9021,244.96,-0.022145494,-0.025493466
2020-03-25 09:54:00,3/25/2020,244.94,244.95,243.62,243.74,-0.047510958,-0.054500624
2020-03-25 09:55:00,3/25/2020,243.72,243.84,243.08,243.45,-0.052190898,-0.05966666
2020-03-25 09:56:00,3/25/2020,243.43,245.6633,242.65,243.55,-0.047544912,-0.054163017
2020-03-25 09:57:00,3/25/2020,243.54,244.33,243.25,244.08,-0.03611972,-0.041014975
2020-03-25 09:58:00,3/25/2020,244.06,244.29,243.6102,243.82,-0.042094483,-0.047641907
2020-03-25 09:59:00,3/25/2020,243.83,243.94,242.83,242.86,-0.065429159,-0.073854408
2020-03-25 10:00:00,3/25/2020,242.85,242.92,242.21,242.51,-0.068160084,-0.076759452
2020-03-25 10:01:00,3/25/2020,242.51,243.9021,242.05,242.21,-0.072026401,-0.080876212
2020-03-25 10:02:00,3/25/2020,242.21,243.9021,242.07,242.9,-0.055751243,-0.062467818
2020-03-25 10:03:00,3/25/2020,242.88,242.9,241.4,241.86,-0.080159163,-0.089607892
2020-03-25 10:04:00,3/25/2020,241.86,243.9021,241.04,241.345,-0.093959884,-0.104826769
2020-03-25 10:05:00,3/25/2020,241.32,243.9021,241,241.55,-0.086349597,-0.096161096
2020-03-25 10:06:00,3/25/2020,241.55,243.9021,241.36,242.2728,-0.063669533,-0.070706781
2020-03-25 10:07:00,3/25/2020,242.28,242.82,241.8851,242.33,-0.061290651,-0.067944416
2020-03-25 10:08:00,3/25/2020,242.32,242.52,241.56,241.56,-0.078463151,-0.086855134
2020-03-25 10:09:00,3/25/2020,241.555,243.9021,241.48,241.65,-0.074177785,-0.081888979
2020-03-25 10:10:00,3/25/2020,241.65,243.9021,241.44,242.15,-0.060140481,-0.066295386
2020-03-25 10:11:00,3/25/2020,242.14,243.9021,241,241.26,-0.082889955,-0.091142507
2020-03-25 10:12:00,3/25/2020,241.25,243.9021,240.45,240.72,-0.098437147,-0.108041059
2020-03-25 10:13:00,3/25/2020,240.73,241.06,240,240.22,-0.10909609,-0.119558969
2020-03-25 10:14:00,3/25/2020,240.22,243.9021,239.81,240.19,-0.107010256,-0.116994866
