,timestamp,Unnamed: 0,C,P,netDelta,deltaTime,spyPrice,buySize,sellSize,undefinedSize,buySide,sellSide,undefinedSide,size,buyPctTrades,sellPctTrades,undefinedPctTrades,undefinedPctSize,sellPctSize,buyPctSize,stockVolumeAll,stockVolumeBus,numStockTransactions,NOPE_busVolume,NOPE_allVolume
45,2020-11-23 13:20:00,2020-11-23 13:20:00,-19257.70379999996,-14887.183800000004,-34144.887599999965,2020-11-23 13:20:00,356.725,1097025,1066435,2994,112284,107320,430,2166454,0.5103029531799631,0.4877428033849314,0.001954243435105484,0.0013819818006752047,0.4922490853717642,0.5063689328275606,29792069.0,29023591.0,1937,-0.11764528930965147,-0.11461066232090145
46,2020-11-23 13:25:00,2020-11-23 13:25:00,-20400.630599999982,-15898.618699999963,-36299.249299999945,2020-11-23 13:25:00,356.695,1107820,1076285,3007,113369,108424,442,2187112,0.5101311674578711,0.4878799469030531,0.001988885639075753,0.0013748724345163852,0.4921032850626762,0.5065218425028074,30039578.0,29271100.0,2206,-0.12401054043066352,-0.12083808001563785
47,2020-11-23 13:30:00,2020-11-23 13:30:00,-20784.49679999996,-17524.297599999984,-38308.79439999993,2020-11-23 13:30:00,356.62,1127336,1087334,3021,114484,109498,450,2217691,0.5101055108005988,0.4878894275326157,0.002005061666785485,0.0013622276502903243,0.4903000463094273,0.5083377260402825,30242523.0,29474045.0,1917,-0.12997467568499652,-0.12667195260130887
48,2020-11-23 13:35:00,2020-11-23 13:35:00,-20657.81200000004,-18262.51679999997,-38920.32880000002,2020-11-23 13:35:00,356.651,1138022,1094865,3021,115453,110368,450,2235908,0.5102421432706798,0.487769091045693,0.001988765683627155,0.0013511289373265806,0.4896735464965464,0.508975324566127,30388125.0,29619647.0,1454,-0.13140038029487666,-0.12807742761358268
49,2020-11-23 13:40:00,2020-11-23 13:40:00,-19809.536399999968,-17260.771499999923,-37070.30789999991,2020-11-23 13:40:00,356.76,1147621,1106231,3189,116335,111332,451,2257041,0.5099772924539054,0.4880456605791739,0.0019770469669206287,0.0014129118611491773,0.4901244594138963,0.5084626287249545,30584981.0,29816503.0,1760,-0.12432815444520745,-0.12120428618216213
50,2020-11-23 13:45:00,2020-11-23 13:45:00,-19407.61040000005,-17641.98700000001,-37049.597400000064,2020-11-23 13:45:00,356.48,1170096,1128888,3194,117550,112314,456,2302178,0.5103768669676971,0.4876432789162904,0.0019798541160125052,0.001387381861871671,0.4903565232575413,0.508256094880587,30833910.0,30065432.0,2164,-0.12322988540460708,-0.12015860914168867
51,2020-11-23 13:50:00,2020-11-23 13:50:00,-18117.331899999983,-14782.183300000037,-32899.515200000016,2020-11-23 13:50:00,356.711,1191365,1145354,3202,119055,113932,458,2339921,0.5099916468547195,0.4880464349204309,0.001961918224849536,0.001368422267247484,0.4894840466836273,0.5091475310491251,31672120.0,30903642.0,1692,-0.1064583753591244,-0.10387531747164387
52,2020-11-23 13:55:00,2020-11-23 13:55:00,-17550.228999999978,-14734.571799999994,-32284.80079999997,2020-11-23 13:55:00,356.75,1197843,1149951,3202,119825,114529,458,2350996,0.5103018585080831,0.4877476449244502,0.0019504965674667395,0.0013619759455141564,0.4891335416989225,0.5095044823555633,31805352.0,31036874.0,1306,-0.1040207876605098,-0.1015074469227694
53,2020-11-23 14:00:00,2020-11-23 14:00:00,-13865.299999999961,-14568.269500000013,-28433.569499999976,2020-11-23 14:00:00,356.76,1215374,1157786,3202,120605,115272,458,2376362,0.5103137495504263,0.4877483233545602,0.0019379270950134343,0.0013474378061928275,0.487209440312545,0.5114431218812622,32118099.0,31349621.0,2765,-0.09069828786765867,-0.08852818312814832
54,2020-11-23 14:05:00,2020-11-23 14:05:00,-13694.836199999969,-15462.598000000016,-29157.43419999998,2020-11-23 14:05:00,356.68,1223762,1168175,3203,121492,116131,459,2395140,0.5102947723893448,0.4877773204190153,0.001927907191639855,0.0013372913483136685,0.4877272309760599,0.5109354776756265,32340381.0,31571903.0,2065,-0.09235247618745053,-0.09015797989516568
