Date,Value
2020-11-03,0.080737026
2020-11-04,0.58291785
2020-11-05,0.555743827
2020-11-06,0.411356694
2020-11-09,0.332990141
2020-11-10,0.054448828
2020-11-11,0.294460578
2020-11-12,-0.141839589
2020-11-13,0.92884
2020-11-16,0.95398287
2020-11-17,0.496549251
2020-11-18,0.505355066
2020-11-19,0.570381026
2020-11-20,0.324838208
2020-11-23,0.948516702
2020-11-24,0.688545747
2020-11-25,0.458590829
2020-11-27,0.515190804
2020-11-30,0.419863247
