,timestamp,Unnamed: 0,C,P,netDelta,deltaTime,spyPrice,buySize,sellSize,undefinedSize,buySide,sellSide,undefinedSide,size,buyPctTrades,sellPctTrades,undefinedPctTrades,undefinedPctSize,sellPctSize,buyPctSize,stockVolumeAll,stockVolumeBus,numStockTransactions,NOPE_busVolume,NOPE_allVolume
66,2020-10-09 15:05:00,2020-10-09 15:05:00,6517.525699999967,-8952.451600000006,-2434.9259000000393,2020-10-09 15:05:00,346.49,1759226,1728704,10186,139970,141329,513,3498116,0.4966786368217109,0.5015010006671115,0.0018203625111776645,0.002911853123224044,0.4941814393805122,0.5029067074962636,37212512.0,36526159.0,1796,-0.006666252260469105,-0.006543298931284293
67,2020-10-09 15:10:00,2020-10-09 15:10:00,6659.71610000003,-9731.848700000004,-3072.1325999999763,2020-10-09 15:10:00,346.41,1776656,1739817,10186,141039,142596,513,3526659,0.4963575319903712,0.5018370708222476,0.0018053971873812239,0.0028882860520396216,0.4933329250148654,0.5037787889330949,37781198.0,37094845.0,2308,-0.008281831612990904,-0.008131379529045045
68,2020-10-09 15:15:00,2020-10-09 15:15:00,7579.940199999979,-9452.085599999988,-1872.1454000000085,2020-10-09 15:15:00,346.45,1796207,1751548,10186,142099,143806,513,3557941,0.4961245452450614,0.5020843662060346,0.0017910885489040493,0.002862891768019762,0.4922925928226466,0.5048445154093336,38378723.0,37692370.0,2563,-0.004966908156743682,-0.004878081534917169
69,2020-10-09 15:20:00,2020-10-09 15:20:00,8127.983299999999,-9283.719300000012,-1155.7360000000126,2020-10-09 15:20:00,346.63,1810976,1767337,10189,143531,145461,515,3588502,0.4957773041757194,0.5024438096488167,0.0017788861754638055,0.002839346334487204,0.4924999345130642,0.5046607191524486,39241197.0,38554844.0,5175,-0.0029976414896141523,-0.002945210871115916
70,2020-10-09 15:25:00,2020-10-09 15:25:00,9022.027,-9146.476500000012,-124.44950000001154,2020-10-09 15:25:00,346.77,1840988,1798449,10203,146202,148384,519,3649640,0.49542366276410105,0.5028176411785635,0.0017586960573355247,0.002795618197959251,0.4927743558268761,0.5044300259751646,39678585.0,38992232.0,2987,-0.0003191648531430864,-0.00031364399713349535
71,2020-10-09 15:30:00,2020-10-09 15:30:00,7947.049799999995,-8487.531599999975,-540.4817999999797,2020-10-09 15:30:00,346.9,1856622,1828067,10203,147963,150440,519,3694892,0.494988659248901,0.5032751018660386,0.001736238885060317,0.0027613797642799844,0.4947551917620325,0.5024834284736874,40503485.0,39817132.0,5726,-0.0013574101720836642,-0.0013344081379663493
72,2020-10-09 15:35:00,2020-10-09 15:35:00,4137.812899999988,-11949.106200000007,-7811.293300000019,2020-10-09 15:35:00,346.43,1890719,1861475,10247,150404,153187,524,3762441,0.4945629120562945,0.5037140555382009,0.0017230324055044967,0.002723497856843469,0.4947519442829802,0.5025245578601764,40975862.0,40289509.0,3465,-0.019387908897077942,-0.01906315796358358
73,2020-10-09 15:40:00,2020-10-09 15:40:00,5076.657499999993,-12297.153600000005,-7220.4961000000085,2020-10-09 15:40:00,346.38,1913679,1895681,10251,152302,155441,527,3819611,0.4940539137768839,0.5042365458851007,0.0017095403380153762,0.002683781149441658,0.4963021103457918,0.5010141085047666,42164125.0,41477772.0,4686,-0.017408109818434818,-0.01712473838838114
74,2020-10-09 15:45:00,2020-10-09 15:45:00,5857.199299999991,-5570.07720000003,287.1220999999623,2020-10-09 15:45:00,346.36,1941512,1980594,10253,154125,157694,529,3932359,0.4934400092204849,0.5048663670009093,0.0016936237786059141,0.00260734078450111,0.5036656114052659,0.4937270478102329,43334055.0,42647702.0,7957,0.000673241667276615,0.0006625784270591856
75,2020-10-09 15:50:00,2020-10-09 15:50:00,5536.974100000002,-7202.542599999992,-1665.5684999999876,2020-10-09 15:50:00,346.17,1970599,2009136,10307,157289,160661,532,3990042,0.4938709252014243,0.5044586507243738,0.0016704240742019955,0.002583180828672981,0.503537556747523,0.493879262423804,46299821.0,45613468.0,9112,-0.003651484030988364,-0.0035973540804833514
