timestamp,C,P,netDelta,stockVolumeAll,stockVolumeBus,numStockTransactions,NOPE_busVolume,NOPE_allVolume
2020-05-01 15:40:00,548087.5007000007,-1067093.8210000023,-519006.3203000018,83841474.0,82117015.0,10283,-0.6320326186966267,-0.6190329147839192
2020-05-01 15:45:00,554321.9554999998,-1073534.0871000043,-519212.13160000474,86611692.0,84887233.0,13889,-0.6116492589645427,-0.599471179480023
2020-05-01 15:50:00,570990.2023999996,-1073765.4933000007,-502775.290900001,90780994.0,89056535.0,21519,-0.5645574363520891,-0.553833207532406
2020-05-01 15:55:00,488725.8487000003,-1258672.011500005,-769946.1628000046,98042926.0,96318467.0,31596,-0.7993754331659002,-0.785315365638929
2020-05-01 16:00:00,612389.2109999987,-1093208.87,-480819.65900000115,101322295.0,99597836.0,3449,-0.4827611505535132,-0.47454477713912935
2020-05-01 16:05:00,599537.7789000006,-1139998.6221000038,-540460.8432000031,104201841.0,102477382.0,1225,-0.527395248250978,-0.5186672692280007
2020-05-01 16:10:00,612796.2400000006,-1134688.9489999986,-521892.7089999981,106477556.0,104753097.0,1352,-0.49821219987414606,-0.490143396041132
2020-05-01 16:15:00,596845.2619000024,-1170593.2535999971,-573747.9916999945,106554688.0,104830229.0,350,-0.547311588625829,-0.5384540112397443
2020-05-04 09:35:00,12109.627299999993,-32965.19109999998,-20855.5638,6121980.0,4489029.0,13663,-0.4645896428826813,-0.3406669704899395
2020-05-04 09:40:00,26824.693,-69785.77870000005,-42961.08570000005,7380530.0,5747579.0,10343,-0.747464031377386,-0.5820867295438139
2020-05-04 09:45:00,36291.30429999994,-84022.12300000015,-47730.818700000214,8499145.0,6866194.0,8655,-0.6951568612829788,-0.5615955334330713
2020-05-04 09:50:00,45334.692900000045,-98267.62330000006,-52932.93040000001,9958280.0,8325329.0,10573,-0.6358058690533432,-0.5315469177408148
2020-05-04 09:55:00,66411.00929999992,-109502.39990000003,-43091.3906000001,10938849.0,9305898.0,8506,-0.463054619769098,-0.3939298421616397
2020-05-04 10:00:00,77305.7832000002,-124891.20079999992,-47585.417599999724,12325234.0,10692283.0,9900,-0.44504450172147264,-0.386081250871178
2020-05-04 10:05:00,98511.30760000004,-135400.8318,-36889.52419999997,13582189.0,11949238.0,8419,-0.30871863293709584,-0.2716022004994922
2020-05-04 10:10:00,105470.14520000004,-157507.09549999994,-52036.950299999895,14447915.0,12814964.0,6362,-0.40606396007042933,-0.36016927217525774
2020-05-04 10:15:00,116692.64969999988,-165288.5162999998,-48595.86659999992,15690942.0,14057991.0,8634,-0.34568144623225266,-0.30970649563295766
2020-05-04 10:20:00,142043.81990000026,-168159.05939999956,-26115.239499999327,16623732.0,14990781.0,6082,-0.17420866531236315,-0.15709612919649646
2020-05-04 10:25:00,134009.57239999998,-197175.00320000073,-63165.43080000076,17541296.0,15908345.0,6400,-0.39705846711270565,-0.3600955756062765
2020-05-04 10:30:00,141596.2394,-205958.85109999968,-64362.61169999969,18379073.0,16746122.0,6373,-0.38434338230666,-0.3501950925381258
2020-05-04 10:35:00,140693.90950000007,-224462.49190000005,-83768.58239999997,18901826.0,17268875.0,4190,-0.48508418990814384,-0.44317719568469194
2020-05-04 10:40:00,153953.30140000008,-220622.9678000005,-66669.66640000042,19698132.0,18065181.0,5720,-0.36905064167361745,-0.33845679580175636
2020-05-04 10:45:00,166617.19150000007,-220480.32620000004,-53863.13469999997,20592336.0,18959385.0,5983,-0.2840974783728479,-0.26156884143693054
2020-05-04 10:50:00,169653.9880000003,-234491.80480000013,-64837.816799999775,21814138.0,20181187.0,5375,-0.32127850953464615,-0.2972284158099659
2020-05-04 10:55:00,174065.18920000046,-240427.17560000016,-66361.98639999973,22594837.0,20961886.0,5667,-0.316584044012069,-0.293704205080124
2020-05-04 11:00:00,163907.5703000002,-266368.6181000002,-102461.0478,23172019.0,21539068.0,4350,-0.4756986133290447,-0.44217574566980977
2020-05-04 11:05:00,170173.76240000024,-271129.2255000001,-100955.46309999988,24206063.0,22573112.0,5956,-0.4472376830452083,-0.4170668443687017
2020-05-04 11:10:00,187074.99739999985,-267780.86450000014,-80705.86710000024,24818517.0,23185566.0,4097,-0.34808668073921606,-0.32518408372265045
2020-05-04 11:15:00,190048.35520000022,-274958.03829999914,-84909.68309999889,25194101.0,23561150.0,3120,-0.36038004554106606,-0.33702207949392154
2020-05-04 11:20:00,199548.52740000005,-272359.94679999945,-72811.4193999994,25908023.0,24275072.0,5279,-0.2999431655650677,-0.28103811471836115
2020-05-04 11:25:00,213336.84700000013,-269099.52929999976,-55762.682299999666,26967384.0,25334433.0,5986,-0.22010629683324537,-0.20677824107818418
2020-05-04 11:30:00,196245.54800000016,-301835.2689999994,-105589.72099999923,27640033.0,26007082.0,5214,-0.40600372237069593,-0.3820173478085183
2020-05-04 11:35:00,205280.7639000002,-300248.42730000074,-94967.66340000054,28351165.0,26718214.0,4900,-0.35544166013491973,-0.33496917463532994
2020-05-04 11:40:00,226221.31930000032,-287416.6541999997,-61195.334899999405,29206978.0,27574027.0,4308,-0.2219310762987191,-0.20952299447070288
2020-05-04 11:45:00,230800.74140000032,-294882.82440000004,-64082.08299999973,29818733.0,28185782.0,4116,-0.2273560584552869,-0.2149054522202527
2020-05-04 11:50:00,239532.3033,-295400.40039999987,-55868.09709999998,30212507.0,28579556.0,2651,-0.1954827328318186,-0.18491711760298468
2020-05-04 11:55:00,243258.1636999998,-298905.1330000009,-55646.9693000011,30981332.0,29348381.0,3528,-0.18960831025057603,-0.1796145152829488
2020-05-04 12:00:00,234778.20590000012,-318417.3771999993,-83639.17129999911,31348346.0,29715395.0,2574,-0.28146747266862554,-0.26680569143902877
2020-05-04 12:05:00,247407.4231,-309340.2466999998,-61932.82359999982,31814008.0,30181057.0,2961,-0.2052042895648082,-0.1946715534867528
2020-05-04 12:10:00,248827.40070000052,-313889.1991000004,-65061.79839999994,32214017.0,30581066.0,2564,-0.2127518981843208,-0.20196735601151494
2020-05-04 12:15:00,245710.6187000003,-332291.18190000113,-86580.56320000085,32484397.0,30851446.0,2169,-0.280636969819829,-0.26652969177787367
2020-05-04 12:20:00,251829.73539999968,-331698.7257000001,-79868.99030000041,33046634.0,31413683.0,2087,-0.25424904905292517,-0.24168570481338708
2020-05-04 12:25:00,262626.75459999987,-324544.2620999998,-61917.507499999876,33452526.0,31819575.0,2823,-0.1945893604801443,-0.18509067895201659
2020-05-04 12:30:00,276613.1573999989,-330917.12490000017,-54303.96750000131,34012142.0,32379191.0,3668,-0.16771255186703493,-0.15966053387640597
2020-05-04 12:35:00,269478.91650000005,-352232.67789999966,-82753.76139999961,34629527.0,32996576.0,4066,-0.25079499582017123,-0.23896878926472087
2020-05-04 12:40:00,258237.53939999948,-380995.34019999905,-122757.80079999953,34949915.0,33316964.0,2569,-0.3684543429587388,-0.35123919700519884
2020-05-04 12:45:00,267484.1281000001,-379494.2526999996,-112010.12459999953,35405102.0,33772151.0,3159,-0.33166417087262084,-0.31636718515879303
2020-05-04 12:50:00,264045.4610000002,-391932.3788000005,-127886.91780000034,35769930.0,34136979.0,3251,-0.37462869166015056,-0.3575263295175594
2020-05-04 12:55:00,261993.88799999983,-407235.87980000174,-145241.99180000188,36111785.0,34478834.0,2508,-0.42124972033567576,-0.4022010869858742
2020-05-04 13:00:00,268298.7837999997,-406808.5086000003,-138509.7248000006,36470909.0,34837958.0,2852,-0.3975827882908654,-0.37978138905175246
2020-05-04 13:05:00,276327.5854000005,-405217.96249999903,-128890.37709999851,36999403.0,35366452.0,2090,-0.3644424866254566,-0.3483579913438023
2020-05-04 13:10:00,279288.83750000014,-407463.4483000001,-128174.61080000002,37858410.0,36225459.0,4287,-0.3538246701028689,-0.3385631113403865
2020-05-04 13:15:00,265104.3466,-444624.69619999954,-179520.34959999952,39453978.0,37821027.0,5737,-0.47465752212386914,-0.4550120385832818
2020-05-04 13:20:00,263137.2727,-476093.40400000033,-212956.1313000004,39802001.0,38169050.0,2716,-0.5579288226979723,-0.5350387567197951
2020-05-04 13:25:00,272107.9902000002,-471432.6284000006,-199324.6382000004,40354020.0,38721069.0,3579,-0.5147704940687469,-0.4939399797095813
2020-05-04 13:30:00,281778.69740000024,-467104.3671000017,-185325.66970000145,40728011.0,39095060.0,2429,-0.4740385862050127,-0.4550324583736766
2020-05-04 13:35:00,294536.43910000013,-455870.7127000002,-161334.27360000013,41139030.0,39506079.0,2550,-0.4083783500762,-0.3921683948308945
2020-05-04 13:40:00,293882.79080000106,-463982.5380999991,-170099.74729999807,41474444.0,39841493.0,1998,-0.42694119745963854,-0.41013147108131953
2020-05-04 13:45:00,294172.66769999947,-472396.78090000025,-178224.11320000066,42022700.0,40389749.0,3087,-0.4412607595060833,-0.4241139031999388
2020-05-04 13:50:00,313354.289400001,-454220.2376999993,-140865.9482999983,42372228.0,40739277.0,2402,-0.3457742961417757,-0.33244876408197915
2020-05-04 13:55:00,316848.8664999998,-467324.74230000045,-150475.87580000068,42864719.0,41231768.0,3198,-0.3649513059929923,-0.3510483197148701
2020-05-04 14:00:00,328156.4072999999,-459743.7359000011,-131587.32860000114,43591065.0,41958114.0,2905,-0.313615928018121,-0.3018676616412128
