entry_nope,exit_nope,window,stop_loss_nope,success_rate,total_trades, total_PNL , mean_of_returns , standard_deviation , average_hold_time ,median_hold_time,day,dayNum
65,5,60,1000,57.9%,19, (3.13), (0.16), 0.87 , 124.21 ,70,Friday, 5 
30,5,25,1000,57.8%,45, 0.34 , 0.01 , 1.11 , 89.00 ,40,Friday, 5 
35,0,35,1000,57.8%,45, 1.68 , 0.04 , 1.02 , 131.67 ,100,Wednesday, 3 
55,25,30,1000,57.7%,26, (3.69), (0.14), 0.87 , 83.08 ,32.5,Friday, 5 
55,20,35,1000,57.7%,26, (3.27), (0.13), 0.89 , 85.19 ,37.5,Friday, 5 
55,10,45,1000,57.7%,26, 0.26 , 0.01 , 1.09 , 142.88 ,130,Monday, 1 
55,5,50,1000,57.7%,26, 0.49 , 0.02 , 1.10 , 143.46 ,130,Monday, 1 
55,0,55,1000,57.7%,26, 1.02 , 0.04 , 1.12 , 143.85 ,130,Monday, 1 
40,0,40,1000,57.6%,33, (0.49), (0.01), 1.05 , 105.15 ,40,Friday, 5 
95,85,10,1000,57.1%,7, 0.85 , 0.12 , 0.31 , 65.00 ,35,Thursday, 4 
25,5,20,1000,57.1%,49, (2.50), (0.05), 1.02 , 86.33 ,45,Friday, 5 
95,70,25,1000,57.1%,14, 0.72 , 0.05 , 0.61 , 81.43 ,45,Wednesday, 3 
40,10,30,1000,57.1%,35, (1.64), (0.05), 0.99 , 92.57 ,40,Friday, 5 
50,15,35,1000,57.1%,28, (4.00), (0.14), 0.87 , 93.57 ,37.5,Friday, 5 
55,15,40,1000,57.1%,28, 0.91 , 0.03 , 1.05 , 125.36 ,75,Monday, 1 
85,35,50,1000,57.1%,14, 3.50 , 0.25 , 1.00 , 97.50 ,80,Monday, 1 
75,25,50,1000,57.1%,7, 1.74 , 0.25 , 0.99 , 165.71 ,145,Thursday, 4 
85,30,55,1000,57.1%,14, 3.26 , 0.23 , 0.99 , 100.00 ,80,Monday, 1 
75,20,55,1000,57.1%,7, 1.74 , 0.25 , 0.99 , 165.71 ,145,Thursday, 4 
85,25,60,1000,57.1%,14, 2.92 , 0.21 , 0.98 , 101.43 ,80,Monday, 1 
75,15,60,1000,57.1%,7, 1.92 , 0.27 , 1.01 , 167.86 ,145,Thursday, 4 
85,20,65,1000,57.1%,14, 1.82 , 0.13 , 0.79 , 105.00 ,92.5,Monday, 1 
75,10,65,1000,57.1%,7, 2.16 , 0.31 , 1.06 , 168.57 ,145,Thursday, 4 
85,15,70,1000,57.1%,14, 1.82 , 0.13 , 0.79 , 105.00 ,92.5,Monday, 1 
75,5,70,1000,57.1%,7, 2.51 , 0.36 , 1.08 , 169.29 ,145,Thursday, 4 
85,10,75,1000,57.1%,14, 1.82 , 0.13 , 0.79 , 105.00 ,92.5,Monday, 1 
85,5,80,1000,57.1%,14, 2.05 , 0.15 , 0.83 , 106.07 ,92.5,Monday, 1 
80,0,80,1000,57.1%,7, 1.94 , 0.28 , 1.12 , 192.14 ,140,Thursday, 4 
85,0,85,1000,57.1%,14, 2.05 , 0.15 , 0.83 , 106.07 ,92.5,Monday, 1 
