entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
10.0,0.0,1000.0,0.6917293233082706,399.0,52.72369999999961,0.13213959899749275,1.1583396147075529,85.26315789473684,40.0
15.0,0.0,1000.0,0.6737160120845922,331.0,35.271299999999826,0.10655981873111729,1.156555182500366,95.80060422960725,55.0
20.0,0.0,1000.0,0.6431095406360424,283.0,28.294000000000096,0.09997879858657278,1.125995874223687,102.24381625441696,60.0
25.0,0.0,1000.0,0.6111111111111112,234.0,21.714999999999918,0.09279914529914494,1.1498437653899465,109.65811965811966,65.0
30.0,0.0,1000.0,0.6342592592592593,216.0,39.69399999999956,0.1837685185185165,1.1814479654239125,110.76388888888889,70.0
35.0,0.0,1000.0,0.6290322580645161,186.0,31.174999999999898,0.16760752688171987,1.1461828879807066,116.53225806451613,70.0
40.0,0.0,1000.0,0.6319018404907976,163.0,31.542999999999722,0.19351533742331117,1.1292880328698522,120.12269938650307,75.0
45.0,0.0,1000.0,0.6408450704225352,142.0,29.596999999999696,0.2084295774647866,1.1070223584452537,124.71830985915493,82.5
50.0,0.0,1000.0,0.6349206349206349,126.0,28.1749999999995,0.22361111111110715,1.1153922429152685,129.44444444444446,100.0
55.0,0.0,1000.0,0.6296296296296297,108.0,24.679999999999836,0.228518518518517,1.1684726789801378,135.60185185185185,115.0
60.0,0.0,1000.0,0.6354166666666666,96.0,27.50199999999967,0.28647916666666323,1.2235210533466332,139.375,115.0
65.0,0.0,1000.0,0.6265060240963856,83.0,21.986999999999682,0.2649036144578275,1.0774592812685102,142.46987951807228,115.0
70.0,0.0,1000.0,0.6666666666666666,72.0,19.806999999999846,0.2750972222222201,1.0724166097095438,135.48611111111111,110.0
75.0,0.0,1000.0,0.676923076923077,65.0,19.770999999999844,0.30416923076922836,1.0957058593840188,131.30769230769232,100.0
80.0,0.0,1000.0,0.6909090909090909,55.0,10.699999999999818,0.19454545454545125,0.9985801553202097,139.45454545454547,115.0
85.0,0.0,1000.0,0.6458333333333334,48.0,8.335999999999729,0.173666666666661,1.0127643932880255,140.625,100.0
90.0,0.0,1000.0,0.6428571428571429,42.0,3.4769999999996344,0.08278571428570558,0.9424327765562533,139.52380952380952,105.0
95.0,0.0,1000.0,0.5454545454545454,33.0,1.6499999999997499,0.04999999999999242,0.9494312771338448,155.0,125.0
100.0,0.0,1000.0,0.5185185185185185,27.0,-1.4040000000002237,-0.05200000000000829,0.9724845262759472,166.11111111111111,170.0
105.0,0.0,1000.0,0.6538461538461539,26.0,1.6499999999998067,0.06346153846153103,0.9805680080756933,161.53846153846155,172.5
110.0,0.0,1000.0,0.631578947368421,19.0,2.522999999999911,0.13278947368420582,1.1024063870031149,181.05263157894737,230.0
115.0,0.0,1000.0,0.5625,16.0,-0.21199999999998909,-0.013249999999999318,1.0864127822026697,195.625,230.0
