entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time
60,20,90,0.5,170,22.196,0.130564706,0.707623415,49.79411765
60,20,100,0.564935065,154,24.951,0.162019481,0.734467888,59.80519481
70,20,80,0.330827068,133,8.736,0.065684211,0.590931165,32.81954887
70,20,90,0.434108527,129,15.037,0.116565891,0.667570722,46.43410853
70,20,100,0.520661157,121,17.802,0.147123967,0.679077568,55.78512397
80,20,90,0.391752577,97,11.661,0.120216495,0.585415473,37.31958763
80,20,100,0.479591837,98,13.126,0.133938776,0.639311821,48.52040816
90,20,100,0.388059701,67,4.352,0.064955224,0.623309263,40.44776119
20,10,30,0.395833333,528,-1.835,-0.003475379,0.534206215,15.83333333
20,10,40,0.445422535,568,-5.379,-0.00947007,0.650237706,23.06338028
20,10,50,0.493647913,551,7.039,0.012774955,0.698008674,30.07259528
20,10,60,0.512380952,525,4.636,0.008830476,0.758843374,36.59047619
20,10,70,0.551148225,479,21.344,0.044559499,0.80709979,44.19624217
20,10,80,0.590604027,447,22.828,0.051069351,0.833449807,50.71588367
20,10,90,0.638349515,412,27.99,0.067936893,0.851894509,57.69417476
20,10,100,0.660714286,392,30.325,0.077359694,0.860273469,62.4744898
30,10,40,0.354591837,392,2.926,0.007464286,0.618416726,20.625
30,10,50,0.418013857,433,13.517,0.03121709,0.6773946,28.11778291
30,10,60,0.443373494,415,12.742,0.030703614,0.752365465,35.97590361
30,10,70,0.482666667,375,29.49,0.07864,0.832242866,45.10666667
30,10,80,0.529069767,344,31.314,0.09102907,0.866574634,53.54651163
30,10,90,0.583870968,310,36.476,0.117664516,0.903159924,62.96774194
30,10,100,0.610344828,290,38.811,0.133831034,0.918597989,69.79310345
40,10,50,0.337837838,296,10.553,0.035652027,0.56773692,25.37162162
40,10,60,0.358662614,329,8.357,0.025401216,0.662294071,32.3556231
40,10,70,0.408637874,301,28.202,0.093694352,0.789329606,42.44186047
40,10,80,0.468864469,273,30.321,0.111065934,0.84282972,52.38095238
40,10,90,0.53526971,241,35.898,0.148954357,0.889581064,63.9626556
40,10,100,0.570135747,221,38.233,0.173,0.915572677,73.00904977
50,10,60,0.29787234,235,-0.005,-2.13E-05,0.59630161,31.23404255
50,10,70,0.340080972,247,14.85,0.060121457,0.749554866,40.56680162
50,10,80,0.415178571,224,19.265,0.086004464,0.81478128,51.83035714
50,10,90,0.487179487,195,24.806,0.127210256,0.870801244,65.41025641
50,10,100,0.539772727,176,27.341,0.155346591,0.903381849,76.61931818
60,10,70,0.300546448,183,13.785,0.075327869,0.782129687,35.32786885
60,10,80,0.395721925,187,21.433,0.114614973,0.838272777,45.93582888
60,10,90,0.460122699,163,26.168,0.160539877,0.904954847,60.27607362
60,10,100,0.524137931,145,27.993,0.193055172,0.948754255,73.06896552
70,10,80,0.325757576,132,13.572,0.102818182,0.707206685,35.41666667
70,10,90,0.42519685,127,18.583,0.146322835,0.767300658,49.96062992
70,10,100,0.508474576,118,20.148,0.170745763,0.779577819,60.46610169
80,10,90,0.391752577,97,12.837,0.132340206,0.62314645,40.51546392
80,10,100,0.474226804,97,12.897,0.132958763,0.663643948,52.57731959
90,10,100,0.388059701,67,4.408,0.065791045,0.614265848,42.3880597
10,0,20,0.381475667,637,19.5987,0.03076719,0.705084613,16.02040816
10,0,30,0.43649635,685,28.7497,0.041970365,0.795039183,23.62043796
10,0,40,0.477657935,649,24.9247,0.038404777,0.886436064,31.8412943
10,0,50,0.518699187,615,37.2107,0.060505203,0.940702662,39.14634146
10,0,60,0.534129693,586,34.6777,0.059176962,0.994264518,45.5887372
